file,accepted_tokens,total_tokens,acceptance rate,acc,num_tokens_per_sec,total_time,num_tokens
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_static_en_0.5_DRAFT_LEN5_FINAL.log,27810,32944,0.8441341629989376,0.82,26.066815319578986,13.702916049957276,355.64
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_reinforce_equal_l2_reg_scale10_target0.3_5e-4_FINAL.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target_5e-4_48.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target_5e-4_24.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_sd_en_0.0_DRAFT_LEN10_FINAL.log,60785,75244,0.807827762642036,0.81,26.668640312116576,13.47337116599083,357.95
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_sd_en_0.0_DRAFT_LEN10_36.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target0.2_5e-4_48.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale10_target0.3_5e-4_FINAL.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_l2_reg_scale10_target0.6_5e-4_48-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target0.2_5e-4_24-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_reinforce_equal_l2_reg_scale10_target0.3_5e-4_48-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_l2_reg_scale5_target0.6_5e-4_48-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_reinforce_equal_l2_reg_scale10_target0.3_5e-4_12-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target0.2_5e-4_48-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale10_target0.3_5e-4_FINAL-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_reinforce_equal_l2_reg_scale10_target0.3_5e-4_FINAL-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target_5e-4_24-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target_5e-4_12-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_l2_reg_scale10_target0.6_5e-4_24-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target_5e-4_48-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_equal_l2_reg_scale20_target0.2_5e-4_12-checkpoint.log,0,0,0.0,,,,
/home/ubuntu/kasasiva_exps_DONOT_DELETE/ziyi_codes_17July2025/backups/.logs/gsm8k/.ipynb_checkpoints/Qwen3-8B_Qwen-06B_reinforce_l2_reg_scale20_target0.6_5e-4_48-checkpoint.log,0,0,0.0,,,,
