file,accepted_tokens,total_tokens,acceptance rate,performance.rouge1,performance.rouge2,performance.rougeL,performance.rougeLsum,num_tokens_per_sec,total_time,num_tokens
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_static_en_0.0_DRAFT_LEN11_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,0,283,0.0,0.0,0.0,0.0,0.0,10.145319904852274,0.10961184740066528,1.0
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_sd_0.0_DRAFT_LEN9_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,18874,28049,0.6728698752228164,0.2851408357440235,0.10331450137879111,0.18323535243235292,0.2423813335427374,29.636398773218026,4.681736927032471,130.185
./.logs/cnndm/Llama-3.1-8B-Instruct_Llama-3.2-3B-Instruct_sd_0.0_DRAFT_LEN5_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,18308,24165,0.757593312918977,0.3039252123863545,0.1136547989999173,0.19171613836743395,0.2594302979452568,19.28539795789061,6.99698590517044,129.155
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_static_en_0.05_DRAFT_LEN13_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,19793,29060,0.6810846151199201,0.2855744457129419,0.10547383423305798,0.18158683313127066,0.24116573135407085,28.376917577981143,4.90552490234375,131.35
./.logs/cnndm/Llama-3.1-8B-Instruct_Llama-3.2-1B-Instruct_static_en_0.0_DRAFT_LEN5_264.log,0,260,0.0,0.0,0.0,0.0,0.0,7.270570087426747,0.1443061673641205,1.0
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_static_en_0.35_DRAFT_LEN15_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,21106,27466,0.7684130046965449,0.29540108137647525,0.11386979918339743,0.18941350531361073,0.25078451681283365,30.308339228126705,4.571190650463104,132.35
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_static_en_0.45_DRAFT_LEN6_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,19506,23123,0.8435391800726518,0.2990799176957074,0.11582153231446377,0.1956175764392474,0.2556907579459309,32.625072910049795,4.1514870548248295,129.805
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_static_en_0.0_DRAFT_LEN8_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,0,278,0.0,0.0,0.0,0.0,0.0,9.915978500575374,0.11121026873588562,1.0
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_static_en_0.5_DRAFT_LEN3_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,17403,19786,0.8795168545004296,0.29124199968897246,0.11062772390652961,0.1902719224953644,0.2476055521420918,30.014703398282037,4.424213353395462,128.62
./.logs/cnndm/Llama-3.2-3B-Instruct_Llama-3.2-1B-Instruct_sd_0.0_DRAFT_LEN3_264_NUM_EXMPLS200_TEMP0.2_DO_SAMPLeFalse.log,16294,21561,0.7556812911603747,0.284922843167943,0.10440744144747965,0.1816186595794156,0.2425273395776559,32.95030774464648,4.045084997415542,128.6
